Date & Time,Company Name,Percent Change
11:07 AM 02.06.2022,Tyler Technologies,2.56%
11:10 AM 02.06.2022,Tyson Foods,-1.63%
11:10 AM 02.06.2022,U.S. Bancorp,0.21%
11:10 AM 02.06.2022,UDR,-0.29%
11:10 AM 02.06.2022,Ulta Beauty,0.47%
11:10 AM 02.06.2022,Under Armour,4.47%
11:10 AM 02.06.2022,Under Armour,3.87%
11:10 AM 02.06.2022,Union Pacific,0.81%
11:10 AM 02.06.2022,United Airlines Holdings,-0.23%
11:10 AM 02.06.2022,United Parcel Service,0.96%
11:10 AM 02.06.2022,United Rentals,1.67%
11:10 AM 02.06.2022,UnitedHealth,-1.25%
11:10 AM 02.06.2022,Universal Health Services,-0.17%
11:10 AM 02.06.2022,V.F,0.82%
11:10 AM 02.06.2022,Valero Energy,0.82%
11:10 AM 02.06.2022,Ventas,-1.10%
11:10 AM 02.06.2022,VeriSign,2.79%
11:09 AM 02.06.2022,Verisk Analytic a,1.42%
11:10 AM 02.06.2022,Verizon,-0.89%
11:10 AM 02.06.2022,Vertex Pharmaceuticals,-2.54%
11:10 AM 02.06.2022,Viatris,-0.79%
11:10 AM 02.06.2022,Visa,1.71%
11:10 AM 02.06.2022,Vornado Realty Trust,-0.87%
11:10 AM 02.06.2022,Vulcan Materials,0.71%
11:10 AM 02.06.2022,W. R. Berkley,0.42%
11:10 AM 02.06.2022,Wabtec,1.77%
11:10 AM 02.06.2022,Walgreens Boots Alliance,-0.81%
11:10 AM 02.06.2022,Walmart,0.30%
11:10 AM 02.06.2022,Walt Disney,0.19%
11:10 AM 02.06.2022,Waste Management,-0.72%
11:09 AM 02.06.2022,Waters,2.24%
11:10 AM 02.06.2022,WEC Energy Group,-0.88%
11:10 AM 02.06.2022,Wells Fargo,-0.59%
11:10 AM 02.06.2022,Welltower,-0.39%
11:10 AM 02.06.2022,West Pharmaceutical Services,1.01%
11:10 AM 02.06.2022,Western Digital,2.26%
11:10 AM 02.06.2022,WestRock,1.00%
11:10 AM 02.06.2022,Weyerhaeuser,0.18%
11:10 AM 02.06.2022,Whirlpool,-0.86%
11:10 AM 02.06.2022,Williams Companies,0.00%
11:10 AM 02.06.2022,Willis Towers Watson,0.56%
11:10 AM 02.06.2022,Wynn Resorts,2.24%
11:10 AM 02.06.2022,Xcel Energy,-0.89%
11:10 AM 02.06.2022,Xylem,1.28%
11:10 AM 02.06.2022,YUM! Brands,-0.50%
11:09 AM 02.06.2022,Zebra Technologies,2.26%
11:09 AM 02.06.2022,Zimmer Biomet,0.30%
11:09 AM 02.06.2022,Zions Bancorporation,0.88%
11:09 AM 02.06.2022,Zoeti a,0.72%
